"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","XY_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.124.001182",-1.32174250710367,0.275018771407347,7,0.885714285714286,8,10,0.00595317348708321,0.371583635168091,0.620794329727715
"mmu.miR.125a.5p.002198",0.899233483405217,0.394796504019925,17,0.420634920634921,14,15,0.494736043480123,1.22832458591751,1.22625783965511
"mmu.miR.125b.5p.000449",0.0888920494820895,0.93183331272349,17,0.420634920634921,14,14,0.277248979238177,1.02660031552569,0.890583327241584
"mmu.miR.126.3p.002228",-0.213100075847326,0.836860351051699,11,0.841269841269841,12,9,0.775024286135607,0.929546241536723,0.815234644115997
"mmu.miR.128a.002216",-1.69235448190566,0.188330444515033,5,0.285714285714286,12,8,0.00118600458463348,0.169199704781331,0.31535697661958
"mmu.miR.130a.000454",-2.28591285125021,0.0762208013830414,4,0.0952380952380952,14,13,0.0301579667378396,0.443118105679899,0.485655683882796
"mmu.miR.130b.000456",0.296646495504964,0.774326093599818,16,0.547619047619048,13,15,0.999193690297165,1.07121089758568,1.04939928998926
"mmu.miR.139.5p.002289",-0.00820622227673822,0.993728341398359,15,0.69047619047619,15,15,0.139070561304303,0.999220540282364,1.00924931147211
"mmu.miR.140.001187",-0.136793912683307,0.894787995198668,11,0.841269841269841,14,14,0.666676107540311,0.975561631842694,0.951112333508174
"mmu.miR.141.000463",-0.250939913763666,0.810896273416368,11,0.841269841269841,15,15,0.849445896152788,0.974665881498823,0.961396102320234
"mmu.miR.142.3p.000464",0.126404303238288,0.902552335468539,13,1,11,11,0.542008573305523,1.04058480977411,1.11805149249841
"mmu.miR.145.002278",-0.851164709605364,0.437215623406084,12,1,12,12,0.000364802036035337,0.652134300195857,0.797594990747548
"mmu.miR.146a.000468",2.05600290969863,0.0888370321631376,21,0.0952380952380952,15,15,0.228211660747993,1.30640623239425,1.28906301679001
"mmu.miR.146b.001097",0.845431850569493,0.422451847503645,13,1,15,15,0.717820908621084,1.200163232192,1.23579699373824
"mmu.miR.148a.000470",-0.473276885538543,0.64869304958669,8,0.420634920634921,15,15,0.00342575973756544,0.880258778584221,0.858192301248472
