"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.15b.000390",-2.10924681423453,0.0484187415432066,53,0.0531692504882812,20,20,0.980447415456833,0.850440094924751,0.82193966350695
"mmu.miR.16.000391",0.651944006350294,0.522246467196666,104,0.985435485839844,20,20,0.000755978959498113,1.03914159276453,1.08651631362885
"mmu.miR.17.002308",4.16068217907992,0.000530869483811729,190,0.000707626342773438,20,20,0.631860464527214,1.14084599184736,1.14326501203011
"mmu.miR.181a.000480",0.866401680612394,0.397079390937345,124,0.498008728027344,20,20,0.188979986257631,0.938231098837624,NaN
"mmu.miR.181c.000482",-0.551586067637256,0.58766124939889,90,0.595819473266602,20,20,0.41388105597759,1.03103172940422,NaN
"mmu.miR.182.002599",-2.68737327698443,0.0145808340820473,41,0.0153121948242188,20,20,0.534217989216823,0.58686423658824,0.647978549472884
"mmu.miR.183.002269",0.465202321097344,0.647690186304202,100,0.550872802734375,19,19,0.0718625423521768,0.967385807735497,NaN
"mmu.miR.186.002285",1.2000895154507,0.244854976041149,129,0.388376235961914,20,20,0.00949379536990777,0.762690634767916,Inf
"mmu.miR.188.5p.002320",1.34771776543704,0.195436595003169,115,0.212142944335938,18,20,0.171815674401865,0.564150024588994,1.99728076262667
"mmu.miR.18a.002422",0.33389411624296,0.742542867346726,80,0.83172607421875,19,19,0.189184017419788,0.960767179869701,NaN
"mmu.miR.191.002299",1.97479056379669,0.063005190756647,156,0.058258056640625,20,20,0.0127893602378637,1.08772144087067,1.08322285274741
"mmu.miR.192.000491",-0.853316740751951,0.404113438036539,71,0.216167449951172,20,20,0.028290477804841,0.972768599218522,0.97638001745981
"mmu.miR.193b.002467",0.957621634141743,0.350281245665378,136,0.261098861694336,20,20,0.353624682897964,0.847869144921298,0.602325569027794
"mmu.miR.194.000493",-1.36589431235645,0.187923791713305,62,0.113986968994141,20,20,0.323383603524617,0.948782999091444,0.952753158567972
"mmu.miR.195.000494",-1.11300865664976,0.279588512825147,77,0.311794281005859,20,20,0.639231273254984,1.55704091825107,0.652370374718578
"mmu.miR.196b.002215",-0.961572981758251,0.348342879124361,63,0.123092651367188,20,20,0.0445887669341176,1.32170869263487,0.143921544720965
"mmu.miR.19a.000395",0.39187117052513,0.699514053641853,87,0.521673202514648,20,20,0.00127296342523155,1.06321796381605,0.899549761912711
"mmu.miR.19b.000396",-0.299099686038332,0.768110993041595,88,0.545875549316406,20,20,0.0372509545062959,0.989391900034256,0.992132380701718
"mmu.miR.200a.000502",1.62126033341966,0.12143935766541,148,0.113986968994141,20,20,0.316413931014328,1.03133364323933,1.0318461713598
"mmu.miR.200b.002251",-2.14803827230683,0.044820009751835,44,0.021484375,20,20,0.0247006855285612,0.882202908898992,0.865792596523295
"mmu.miR.200c.002300",-1.54336018048546,0.139235625435327,62,0.113986968994141,20,20,0.0287128511615885,0.910448203731055,0.905103640718463
"mmu.miR.203.000507",-1.95289481015687,0.0657217155012177,50,0.0399894714355469,20,20,0.075956876548743,0.888031634243742,0.895522873273166
"mmu.miR.205.000509",-0.484271096436467,0.633728701626564,92,0.647655487060547,20,20,0.0375860474378043,1.07078423378118,NaN
"mmu.miR.20a.000580",2.5858276729869,0.0181246965794711,168,0.017181396484375,20,20,0.911472800560521,1.06315211708733,1.06028510545435
"mmu.miR.20b.001014",2.7225454909941,0.0135149269267091,181,0.00315284729003906,20,20,0.0116294242554092,1.44662862548528,1.5472989523041
"mmu.miR.21.000397",-2.30398614467986,0.0326844166045349,44,0.021484375,20,20,0.0729987626131396,0.773791067789985,0.867031291401908
"mmu.miR.215.001200",-4.92224368907429,9.45984592140301e-05,27,0.00232505798339844,20,20,0.000130171270632738,0.657590609828264,0.658039630593311
"mmu.miR.218.000521",2.96736010535751,0.00791277153363602,179,0.00422096252441406,20,20,0.260297294624737,-15.686306282076,Inf
"mmu.miR.222.002276",0.455440918300265,0.653953924481352,117,0.674222946166992,20,20,0.9979478713999,1.06490840888764,1.06477681444881
"mmu.miR.224.002553",-0.677535150601392,0.507183394693334,73,0.609458923339844,19,19,0.040361266861145,1.10294032475806,NaN
"mmu.miR.23b.000400",-0.506748030227371,0.618162027369382,90,0.595819473266602,20,20,0.711322199329119,1.0532515677658,NaN
"mmu.miR.24.000402",-2.65388836870985,0.0156695634030322,46,0.026641845703125,20,20,0.519686818201616,0.934149225015323,0.933133382029617
"mmu.miR.25.000403",1.64076119170886,0.117297406289137,140,0.202449798583984,20,20,0.573769156208214,1.41779431222429,1.03886825608096
"mmu.miR.26a.000405",-3.21164012807174,0.00459273114246813,36,0.00830841064453125,20,20,0.0817698727236083,0.867428413306613,0.864841645356194
"mmu.miR.26b.000407",-1.6778231821667,0.109755307908128,58,0.082550048828125,20,20,0.94002593395041,0.563009922520847,0.724412608149824
"mmu.miR.27a.000408",-5.52480640653288,3.71173564839111e-05,4,5.340576171875e-05,19,19,0.749634946613849,2.53569491763577,NaN
"mmu.miR.27b.000409",-2.34352999123705,0.0301313561879599,47,0.0295753479003906,20,20,0.076295130431349,0.590021046782998,0.636411876551826
"mmu.miR.28.000411",-1.60233491079474,0.126484624277864,51,0.0798759460449219,19,20,0.658812944313965,1.40820151533214,0.789599318191103
"mmu.miR.29a.002112",0.557424805919068,0.583745383655136,92,0.647655487060547,20,20,0.000233905615350508,1.18456833239451,0.74402414755963
"mmu.miR.29b.000413",-0.574918417907866,0.575967139293294,40,0.7353515625,16,17,0.70789575376412,1.02954340621191,NaN
"mmu.miR.29c.000587",-2.07300581695602,0.0520155611257839,53,0.0531692504882812,20,20,0.0364182719853798,1.97000234338274,Inf
"mmu.miR.301a.000528",1.44649953579424,0.164333500413347,139,0.216167449951172,20,20,0.573206325488579,0.83002223443226,NaN
"mmu.miR.301b.002600",-0.188184790756507,0.85272712071599,108,0.927278518676758,20,20,0.218160261645495,1.0451904197892,Inf
"mmu.miR.30a.000417",-3.55803130434751,0.00209956367421459,31,0.00422096252441406,20,20,0.564753034127564,0.613216123851915,0.485466722174685
"mmu.miR.30b.000602",-1.86477742394812,0.0777353833251737,53,0.0531692504882812,20,20,0.149899215816705,0.950003767141806,0.954456120304734
"mmu.miR.30c.000419",-2.07309443264949,0.0520064792643262,44,0.021484375,20,20,0.303047557705542,0.958894492555334,0.959388597194856
"mmu.miR.30d.000420",-4.46300672131672,0.000300561109021358,18,0.000965118408203125,20,19,0.154058618889998,2.92059653804105,NaN
"mmu.miR.30e.002223",-1.44397916146736,0.165032904125601,53,0.0531692504882812,20,20,0.0509328448691622,0.644384561367988,0.498960684328302
"mmu.miR.31.000185",1.15834385797664,0.261076858465422,151,0.0896949768066406,20,20,0.0428025693086423,1.02331952751543,1.0239915860667
"mmu.miR.320.002277",-0.584304799422883,0.565889116541414,93,0.674222946166992,20,20,0.000309141953730681,0.510104196488482,Inf
"mmu.miR.322.001076",1.56680029370766,0.161145038035764,28,0.1953125,12,13,0.421894242727535,0.927312306595633,NaN
"mmu.miR.324.5p.000539",-0.582890427553397,0.578252904059202,13,0.546875,9,19,0.434164710890895,1.17314767634499,NaN
"mmu.miR.328.000543",-2.15584692028441,0.044125707575037,65,0.142906188964844,20,20,0.0478409020012461,0.634791003217087,0.81540605613989
"mmu.miR.331.3p.000545",-1.76368598936321,0.0938593115242128,55,0.0637226104736328,20,20,0.432609489056822,1.71725432968098,NaN
"mmu.miR.340.3p.002259",-1.39639580978588,0.179578543821175,57,0.133621215820312,20,19,0.912438590351613,1.11599955691537,NaN
"mmu.miR.340.5p.002258",-1.9279465267332,0.0743958637013032,28,0.072998046875,16,19,0.681157377410337,1.17468827712356,NaN
"mmu.miR.342.3p.002260",3.49354290406694,0.00243070125339447,186,0.00143241882324219,20,20,0.0868200652184302,0.69887993032403,NaN
"mmu.miR.34b.3p.002618",0.946761763094785,0.364094426193118,48,0.5185546875,13,19,0.525063948791497,0.879457851671651,NaN
"mmu.miR.365.001020",-1.2213625166093,0.236887913717794,56,0.069580078125,20,20,0.0148312405019263,1.31948567175644,NaN
"mmu.miR.375.000564",-3.93299806149878,0.000892908980984429,19,0.000585556030273438,20,20,0.421026805382209,0.912812358445519,0.910470602843425
"mmu.miR.423.5p.002340",-1.97200399840589,0.0840825940539945,10,0.1640625,12,15,0.394027216297656,1.20330441135389,NaN
"mmu.miR.429.001077",-1.63388560858837,0.126254850298277,25,0.090576171875,15,19,0.609987186449526,0.870021644289556,1.118061468547
"mmu.miR.484.001821",-2.42913782359225,0.0252257014653532,44,0.021484375,20,20,0.0894916751679433,0.760234394897807,0.67505344005613
"mmu.miR.532.3p.002355",-1.30431328630919,0.207706758867465,69,0.189348220825195,20,20,0.667565170041936,1.15095285303945,NaN
"mmu.miR.532.5p.001518",-1.2831246463548,0.215723880961587,40,0.0258216857910156,20,19,0.00169879491596311,1.17750878825611,NaN
"mmu.miR.574.3p.002349",-1.13884659780193,0.268923061852004,74,0.261098861694336,20,20,0.132582515104782,2.2482823427173,0
"mmu.miR.652.002352",-2.54434465458371,0.0203387632624211,23,0.00239944458007812,19,20,0.00411120292152506,1.46513572430599,NaN
"mmu.miR.671.3p.002322",0.110107676981384,0.914307140255313,39,1,15,17,0.268623685396116,0.981684622647214,NaN
"mmu.miR.744.002324",-2.02974895376826,0.0566234442754372,56,0.069580078125,20,20,0.00350227682549344,1.85191638515388,NaN
"mmu.miR.7b.002555",-1.90574682281054,0.0727816666441398,43,0.0360679626464844,19,20,0.177378802575089,1.21849573102386,NaN
"mmu.miR.872.002264",1.048963238516,0.307355577906035,118,0.647655487060547,20,20,0.00250305224712471,1.11607018037909,0.924915207035946
"mmu.miR.92a.000430",2.80824280667791,0.011220299912914,171,0.0120792388916016,20,20,0.0982261213154332,1.06714887745298,1.06525539060557
"mmu.miR.93.001090",1.65006947335807,0.115362945544005,162,0.0327682495117188,20,20,0.00859052862080827,1.14148716856115,1.18498424514366
"mmu.miR.99a.000435",0.180021041007502,0.859715761651082,56,0.846923828125,17,18,0.285817139108232,1.02292682645364,NaN
"mmu.miR.99b.000436",-1.12884044117954,0.27301711505971,92,0.647655487060547,20,20,0.000470023931649542,1.10707994434358,NaN
"rno.miR.190b.002048",1.0387126739807,0.311977259845061,134,0.294252395629883,20,20,0.811918907601336,1.03512543957414,1.03522551633866
"rno.miR.196c.002049",-2.23015830416931,0.0379930380518901,52,0.0484409332275391,20,20,0.0356906961407695,0.520396285723253,0.681248183888031
"rno.miR.224.000599",-1.55087064453704,0.137430112380509,65,0.142906188964844,20,20,0.491791530955336,1.17919770191908,NaN
"rno.miR.345.3p.002061",2.5193818486101,0.0235852382961665,115,0.013092041015625,17,19,0.508388360726899,0.7962532147655,NaN
"snoRNA135.001230",-2.06027911273861,0.0533348362483533,51,0.0440540313720703,20,20,0.325420799936431,0.847243616472156,0.829658854171826
"snoRNA202.001232",-0.672691833119313,0.509242720002568,81,0.388376235961914,20,20,0.334706647212494,0.97958021240726,0.976289993882593
