"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","dif_X_Y","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"36",0.576946394280112,0.570749024909545,115,0.728506088256836,20,20,20,0.875685362403959,1.07218118796615,0.995193905556325
"37",-0.0436494375606068,0.965664419725044,99,0.890567779541016,20,19,20,0.512438042009866,0.995409505595861,0.982580776741561
"38",0.319999024512124,0.752653665257575,103,0.76800537109375,20,19,20,0.488511638929448,1.02927573855515,1.06704854612344
"39",1.27463344367817,0.218648470553616,129,0.181865692138672,20,19,20,0.36661809186587,1.20805387928657,1.10092639892248
"40",0.522452136445189,0.608514241641887,76,1,20,17,20,0.0866013853402242,1.12489738767684,1.0722395764853
"41",0.673585502165071,0.508686752615083,122,0.545875549316406,20,20,20,0.853402781687797,1.08222637655989,1.0521083640782
"42",0.307839931627996,0.761943814288626,86,1,19,20,19,0.30218496128694,1.05767046797971,0.880922364511184
"43",0.81412761783145,0.425658276720667,123,0.521673202514648,20,20,20,0.790696968438805,1.14487232028862,1.14380007557207
"44",-0.210554614754067,0.835892903664504,76,1,18,20,18,0.780611052678599,0.953524680546193,0.804422551387167
"45",0.598476294713591,0.558451933567041,80,0.5618896484375,18,19,19,0.761707414685672,1.11991001903216,1.05274467426706
"46",2.41149246495509,0.0267870039370847,142,0.0602073669433594,20,19,20,0.319654996439423,1.48168065282901,1.38173157748016
"47",0.662189448150126,0.516239149947756,110,0.567760467529297,20,19,20,0.93301507072991,1.06338154625788,1.06426752315963
"48",-3.07244993124306,0.00656285390980529,29,0.0061798095703125,20,19,20,0.573124195413844,0.779250674924628,0.700079129849429
"49",1.49353397777754,0.151718827482292,147,0.123092651367188,20,20,20,0.0637135383918194,1.13750686078916,1.12013347651148
"50",0.0328693533145379,0.974121616779698,102,0.927278518676758,20,20,20,0.0345019541378228,1.0024012616856,1.02791067897906
"51",0.240665386273302,0.812392248062844,107,0.956329345703125,20,20,20,0.893520306160788,1.04242686327718,1.08680405658859
"52",0.21283091910239,0.83372569619504,115,0.728506088256836,20,20,20,0.691980769279878,1.03436038328702,1.04787607230304
"53",1.92852374527085,0.0697138663293008,138,0.0874290466308594,20,19,20,0.750906550188518,1.17390525012418,1.18999096487337
"54",1.26848023861843,0.219948741652499,142,0.176853179931641,20,20,20,0.519645080951344,1.13452139820818,1.11426748966256
"55",-0.0186727971378385,0.985319538667668,87,0.966117858886719,20,18,20,0.48411843550044,0.997953320696013,1.01668909121148
"56",0.130654693546555,0.897677112403884,75,0.963226318359375,20,17,20,0.538536728607145,1.01548380472898,1.03249002932706
"57",-0.653984338907404,0.520959550609507,88,0.545875549316406,20,20,20,0.681101734697777,0.938623507737254,0.905932525122115
"58",0.931015322222799,0.365681515352998,98,0.328948974609375,18,19,20,0.648215930373251,1.18148536569299,1.08159688020334
"59",-0.343783079104387,0.734784656422909,107,0.956329345703125,20,20,20,0.542448683243628,0.964378796202273,0.937419009400145
"60",0.136630605747021,0.892760145337801,107,0.956329345703125,20,20,20,0.954387690847554,1.02752622183561,0.993284742406198
"61",1.18746689112087,0.253508118564016,96,0.1590576171875,20,16,20,0.204835305515147,1.1713000617938,1.35389579257029
"62",0.602001735943355,0.55468096086515,113,0.489967346191406,20,19,20,0.860877399204944,1.04466420799227,1.01468013287408
"63",1.10562865101284,0.283446529690374,121,0.312408447265625,20,19,20,0.985323424465893,1.13138635272613,1.12377514032697
"64",1.10359655494774,0.283549925998479,128,0.409097671508789,20,20,20,0.617276077496263,1.17977038641256,1.14466656117752
"65",0.0504833077871647,0.960325672807834,87,0.966117858886719,19,20,19,0.742366118711555,1.00868651126557,0.972884607482011
"66",0.102086482317109,0.919882516100086,83,0.932281494140625,19,19,20,0.587197754756259,1.01854019428653,0.776969858482084
"67",0.428415658730459,0.673166000954636,114,0.756166458129883,20,20,20,0.0899022378985791,1.03346798215747,1.01973462549804
"68",1.82130971273988,0.0899931993828703,94,0.05535888671875,20,15,20,0.50539518639347,1.1747612744418,1.20422988095199
"69",0.311358455932958,0.758918581870758,112,0.812355041503906,20,20,20,0.231825438537232,1.03321512076078,1.0179621752692
"70",-0.132986667721411,0.895602295458338,104,0.985435485839844,20,20,20,0.637446854046874,0.98118813523719,0.951118732554014
"71",0.302869261740952,0.766149201706552,69,0.979949951171875,16,20,19,0.327227149351239,1.0929567519362,1.22516181720128
"72",1.09357520076493,0.290332880086303,86,0.677703857421875,19,18,20,0.047621466925047,1.0991937839181,1.11482389545876
"73",0.543134729067563,0.594087777181898,95,0.701881408691406,19,20,19,0.477581438986543,1.13917512205839,1.18092889674749
"74",1.4037212994005,0.180765501464166,96,0.1590576171875,20,16,20,0.858953289360285,1.35059984349396,1.13496014683488
