"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","X_norm_test","y_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.342.3p.002260",-0.140473957097602,0.894294902291682,9,0.547619047619048,15,15,0.179464067079113,0.923938544290899,0.970164644559677,0.901868710338199
"mmu.miR.34b.3p.002618",-0.120411427147756,0.907133831282641,10,0.69047619047619,12,12,0.195845294443063,0.455433883860412,0.946610555511087,0.807645090038758
"mmu.miR.365.001020",0.932884521746971,0.379029893049352,18,0.30952380952381,15,15,0.515068223762921,0.106493179764581,1.3621142783456,1.35666924235066
"mmu.miR.375.000564",1.81735685633181,0.122742772545811,20,0.150793650793651,15,15,0.914803504321717,0.375446852436545,1.18817206790225,1.20464208223385
"mmu.miR.423.5p.002340",0.421915917815121,0.686624737577864,14,0.412698412698413,9,9,0.106694271911924,0.0414847731473341,1.26036980797503,1.40011716368296
"mmu.miR.429.001077",1.72931707585734,0.122242045852751,19,0.222222222222222,13,10,0.666716241606595,0.756204620926238,1.59923539449773,1.92042090832837
"mmu.miR.484.001821",-0.549734668802478,0.597637878318735,12,1,15,15,0.523610603901277,0.296483530040325,0.945175941567772,0.940884783702713
"mmu.miR.532.3p.002355",2.62060219293343,0.05766795416198,20,0.150793650793651,15,15,0.981388307418225,0.296651425831873,2.72555277256397,2.31420425303199
"mmu.miR.532.5p.001518",-0.0990325691175417,0.924092879184951,10,0.69047619047619,14,14,0.0114032076449409,0.742952143190136,0.964504986019145,0.888358898571122
"mmu.miR.574.3p.002349",0.54822002944169,0.603176989717596,14,0.841269841269841,15,15,0.16681556520704,0.00407563049684904,1.12069575671778,1.06286614668359
"mmu.miR.652.002352",1.01838422497118,0.349145982924758,19,0.222222222222222,15,15,0.389649162439478,0.355451470685019,1.36950282135925,1.29187989300169
"mmu.miR.671.3p.002322",1.05717096067128,0.333134924059026,15,0.69047619047619,12,11,0.128623582761283,0.316482072219315,1.50457181536467,1.3877022620084
"mmu.miR.744.002324",-1.17802243120192,0.277487255548123,8,0.420634920634921,15,15,0.704325695940309,0.418869885444504,0.7898078990089,0.742065266595335
"mmu.miR.7b.002555",-1.17164427556092,0.303959519328049,10,0.69047619047619,15,14,0.0533713761191969,0.173421318260405,0.637267018644219,0.745201513561151
"mmu.miR.872.002264",-1.3289173153015,0.226081533333881,7,0.30952380952381,15,15,0.252087796923603,0.6827510097296,0.555560173196992,0.622951028920542
"mmu.miR.92a.000430",0.987740030941841,0.361587024637132,18,0.30952380952381,15,15,0.02361136158267,0.509375554531383,1.09157001693203,1.08426071341795
"mmu.miR.93.001090",1.33672394570373,0.218079329156929,19,0.222222222222222,15,15,0.817552310306421,0.545893772957013,1.21937817978007,1.22877276973834
"mmu.miR.99a.000435",-0.316164058101834,0.76010415652488,11,0.841269841269841,12,10,0.91334938821627,0.924198994756162,0.913375802681362,0.934970339834007
"mmu.miR.99b.000436",1.09103253791976,0.310459610868839,17,0.420634920634921,15,14,0.518128057848195,0.436108886979868,1.24044575377744,1.22034860861437
"rno.miR.190b.002048",-1.25937028224667,0.261086628556904,8,0.420634920634921,15,15,0.217263328705187,0.240314811037313,0.715193225218576,0.761206351070947
"rno.miR.196c.002049",2.20777024825766,0.0708655618084695,20,0.150793650793651,15,15,0.805770688378972,0.793192431078266,1.4247007647855,1.39737655948382
"rno.miR.224.000599",1.33798859817776,0.223776873215745,19,0.222222222222222,15,15,0.926934470899303,0.490583509368232,1.46441232901526,1.43917938930787
"rno.miR.345.3p.002061",-0.171302948741695,0.869833942019076,10,0.69047619047619,15,12,0.0272499934336052,0.37137346522927,0.960007138887932,0.89295899482515
"snoRNA135.001230",-0.703297692772536,0.502569258621632,9,0.547619047619048,15,15,0.152838826171946,0.54576877526568,0.865112869929156,0.877840858293796
"snoRNA202.001232",-0.315877951846697,0.763738600090554,13,1,15,15,0.483164199006546,0.332141079935948,0.956323681231871,0.97909651597574
