"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.148a.000470",0.612415242148093,0.54752328571275,128,0.409097671508789,20,20,0.119138673879025,1.1153745951344,1.08492642281777
"mmu.miR.148b.000471",2.02522127245712,0.0774290795258781,37,0.09765625,12,15,0.310593411955214,1.66583505020088,1.63633669490519
"mmu.miR.151.3p.001190",0.458820856753884,0.655295812968182,53,0.30126953125,16,16,0.018951031974398,1.31096890876324,1.32737016402688
"mmu.miR.152.000475",0.991536375157554,0.333884131930779,123,0.521673202514648,20,20,0.0441706372091704,1.28460658409734,1.21815853806337
"mmu.miR.155.002571",-0.064362496893982,0.949478873829502,74,0.926513671875,17,20,0.831659823702521,1.01061340122593,0.911019872269979
"mmu.miR.15b.000390",0.576946394280112,0.570749024909545,115,0.728506088256836,20,20,0.875685362403959,1.07218118796615,0.995193905556325
"mmu.miR.16.000391",0.560677583417646,0.5815695536463,119,0.621513366699219,20,20,0.289518676978039,1.07147637145943,1.0519381673598
"mmu.miR.17.002308",0.915370935084852,0.371468922546375,123,0.521673202514648,20,20,0.148616241754311,1.10997857375942,1.16627859663063
"mmu.miR.181a.000480",0.318182301356468,0.753817431440741,129,0.388376235961914,20,20,0.0278971631437209,1.05954120438206,1.01836137504115
"mmu.miR.181c.000482",-0.513711409055351,0.613376327505771,94,0.701181411743164,20,20,0.00369325195437546,0.830060771393167,0.890706517626328
"mmu.miR.182.002599",0.673585502165071,0.508686752615083,122,0.545875549316406,20,20,0.853402781687797,1.08222637655989,1.0521083640782
"mmu.miR.183.002269",0.307839931627996,0.761943814288626,86,1,19,19,0.30218496128694,1.03658937960121,0.872235702809774
"mmu.miR.186.002285",0.81412761783145,0.425658276720667,123,0.521673202514648,20,20,0.790696968438805,1.14487232028862,1.14380007557207
"mmu.miR.188.5p.002320",-0.210554614754067,0.835892903664504,76,1,18,18,0.780611052678599,1.08197757697973,0.901646632790755
"mmu.miR.18a.002422",0.026912201248848,0.978862572435885,81,0.8536376953125,18,19,0.674918258525905,1.00928542586845,0.885742724511411
"mmu.miR.191.002299",1.1317286690783,0.271830684108753,142,0.176853179931641,20,20,0.0583183090460842,1.25381102922303,1.27888643239502
"mmu.miR.192.000491",1.14606590844723,0.2659976544667,130,0.368276596069336,20,20,0.539950783716987,1.12863429036556,1.11551487828942
"mmu.miR.193b.002467",-3.00597715450058,0.0072649187987217,29,0.00315284729003906,20,20,0.0354430062443186,0.727819085760475,0.668514730942727
"mmu.miR.194.000493",1.49353397777754,0.151718827482292,147,0.123092651367188,20,20,0.0637135383918194,1.13750686078916,1.12013347651148
"mmu.miR.195.000494",0.0328693533145379,0.974121616779698,102,0.927278518676758,20,20,0.0345019541378228,1.0024012616856,1.02791067897906
"mmu.miR.196b.002215",0.240665386273302,0.812392248062844,107,0.956329345703125,20,20,0.893520306160788,1.04242686327718,1.08680405658859
"mmu.miR.19a.000395",0.21283091910239,0.83372569619504,115,0.728506088256836,20,20,0.691980769279878,1.03436038328702,1.04787607230304
"mmu.miR.19b.000396",0.936085550065154,0.360975664208073,138,0.230512619018555,20,20,0.3207166129616,1.10108159168309,1.08325038984612
"mmu.miR.200a.000502",1.26848023861843,0.219948741652499,142,0.176853179931641,20,20,0.519645080951344,1.13452139820818,1.11426748966256
"mmu.miR.200b.002251",-0.0126924201688168,0.990005514177189,107,0.956329345703125,20,20,0.526202357088786,0.998291862917699,0.959166552372148
"mmu.miR.200c.002300",0.895866632989039,0.381534199613487,114,0.756166458129883,20,20,0.00111557512594443,1.2170646583949,1.16222102246899
"mmu.miR.203.000507",-0.653984338907404,0.520959550609507,88,0.545875549316406,20,20,0.681101734697777,0.938623507737254,0.905932525122115
"mmu.miR.205.000509",1.38888947927946,0.182794735824806,116,0.196388244628906,18,20,0.831303064286778,1.29169795244858,1.14375923629041
"mmu.miR.20a.000580",-0.343783079104387,0.734784656422909,107,0.956329345703125,20,20,0.542448683243628,0.964378796202273,0.937419009400145
"mmu.miR.20b.001014",0.136630605747021,0.892760145337801,107,0.956329345703125,20,20,0.954387690847554,1.02752622183561,0.993284742406198
"mmu.miR.21.000397",-0.166720309391161,0.869351616443682,115,0.728506088256836,20,20,0.205185527906053,0.9648449561573,0.944834438460233
"mmu.miR.215.001200",-0.69216313620915,0.497207498251018,113,0.784126281738281,20,20,2.2378818133787e-06,0.888247823434398,0.939693846031857
"mmu.miR.218.000521",0.427464851849246,0.673846239527502,121,0.570596694946289,20,20,0.926156313975688,1.05504618067602,1.05233300215504
