"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.128a.002216",-1.64916561206049,0.143101878750466,4,0.0546875,10,15,0.00491170634219088,0.42552204744563,0.43240191964942
"mmu.miR.130a.000454",0.491894407283789,0.630416940795562,64,0.846923828125,17,18,0.264603063046561,1.33627177333769,1.0721430889015
"mmu.miR.130b.000456",-0.317118074494518,0.754612235021121,86,0.498008728027344,20,20,0.0230664072332841,0.955719653741039,0.8678078566331
"mmu.miR.139.5p.002289",0.562847710563841,0.580120206228352,119,0.621513366699219,20,20,0.261956782041603,1.05324606700881,1.05792408582679
"mmu.miR.140.001187",-1.07867203078018,0.294977262996398,66,0.257926940917969,19,20,0.996546318191153,0.883393220155055,0.775979322567927
"mmu.miR.141.000463",-0.154791958404363,0.878617847025368,93,0.674222946166992,20,20,0.432483087117431,0.984836217145422,1.01187459754778
"mmu.miR.142.3p.000464",-1.0829448758205,0.300113602452769,35,0.497314453125,14,18,0.115709676229865,0.671357221328582,0.637452123552621
"mmu.miR.145.002278",-2.91275458561524,0.015491477876308,4,0.0068359375,12,19,0.158035910561588,0.401326993616041,0.294293366100849
"mmu.miR.146a.000468",0.858298443711689,0.401425981317952,130,0.368276596069336,20,20,0.947591140045242,1.1476922773684,1.17160971154214
"mmu.miR.146b.001097",2.18601175230144,0.0415347572652146,159,0.0440540313720703,20,20,0.974763183718458,1.23467306576953,1.26522678785799
"mmu.miR.148a.000470",0.783539465306708,0.44296880062348,121,0.570596694946289,20,20,0.105680216283851,1.12195407603906,1.10611585870847
"mmu.miR.148b.000471",1.50579172519555,0.18283171892114,21,0.296875,12,13,0.301505868561723,2.00811979749772,1.59387619647854
"mmu.miR.151.3p.001190",0.311134192154764,0.760283119398806,69,0.638671875,16,18,0.119964784721947,1.09727211195274,1.11601875100875
"mmu.miR.152.000475",0.0889036360451577,0.930088919948729,94,0.701181411743164,20,20,0.0125421502869254,1.01509103019753,0.882088709921607
"mmu.miR.155.002571",2.19054400686516,0.0446944089835696,109,0.033538818359375,17,19,0.697173044721703,1.89992154009638,2.62676621565838
"mmu.miR.15b.000390",-1.42374135452191,0.170736993784629,68,0.176853179931641,20,20,0.516362900377161,0.871990772374821,0.799883754699355
"mmu.miR.16.000391",0.874319371763194,0.392862069166953,117,0.674222946166992,20,20,0.240729781697534,1.11180377241085,1.14858578085224
"mmu.miR.17.002308",4.891109653481,0.000101434283043931,201,6.29425048828125e-05,20,20,0.31486342538787,1.67678674784377,1.71880360324204
"mmu.miR.181a.000480",1.08480703231587,0.29158063022444,151,0.0896949768066406,20,20,0.0128589379839861,1.19178271746849,1.1445343058507
"mmu.miR.181c.000482",-0.228530289299325,0.821675650172243,100,0.869487762451172,20,20,0.99383038786644,0.944006154832394,0.795374630772055
"mmu.miR.182.002599",-2.13129065501958,0.0463427701304595,55,0.0637226104736328,20,20,0.706535214718583,0.83438971219402,0.785856067461738
"mmu.miR.183.002269",1.50504045266354,0.150666855794588,120,0.141517639160156,19,19,0.972116202700926,1.12895514132538,0.951953740553015
"mmu.miR.186.002285",2.89948661914726,0.00918904855628907,174,0.00830841064453125,20,20,0.946847812691073,1.57681927662144,1.42287300829195
"mmu.miR.188.5p.002320",1.70336016628898,0.106710813161485,121,0.129737854003906,18,20,0.00800045673709856,1.82460485116301,1.31165734540399
"mmu.miR.18a.002422",-0.0857756436628836,0.93270897698988,76,1,18,19,0.915393618305252,0.966661310837843,0.950659125188494
"mmu.miR.191.002299",3.57903673907982,0.00200165353916567,192,0.000482559204101562,20,20,0.0264526494526778,1.81356177224533,1.68325751612156
"mmu.miR.192.000491",-0.287552622760717,0.776802102466645,101,0.898317337036133,20,20,0.740106912611453,0.972985628261825,0.998368144281432
"mmu.miR.193b.002467",-1.346735327205,0.193911368892256,71,0.216167449951172,20,20,0.207913317008371,0.805489618289923,0.765727357466937
"mmu.miR.194.000493",-0.592413500545344,0.560558644894174,84,0.452375411987305,20,20,0.180922293664198,0.946686434759669,0.954545290952683
"mmu.miR.195.000494",-1.05764323487489,0.303480479813214,78,0.329982757568359,20,20,0.157083131882702,0.930335080805552,0.928601493677209
"mmu.miR.196b.002215",-0.677797723058664,0.506070890249612,76,0.294252395629883,20,20,0.249222339761339,0.904339160208449,0.888746517329326
"mmu.miR.19a.000395",0.486689837239704,0.632044959545885,132,0.329982757568359,20,20,0.207686654150292,1.0743583114177,1.09620662342845
