"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.574.3p.002349",-0.459027693115795,0.651422258707922,78,0.329982757568359,20,20,0.00833979319673443,0.921947995574589,0.776033507454519
"mmu.miR.652.002352",-3.05722949534354,0.00678458802050788,21,0.0016937255859375,19,20,0.260353389188215,0.431189307245889,0.416656758884907
"mmu.miR.671.3p.002322",0.428623177261339,0.676470415019356,40,0.9697265625,15,17,0.0391432869532993,1.19163374571832,1.06725983770847
"mmu.miR.744.002324",-1.654648796973,0.114421249194233,58,0.082550048828125,20,20,0.723477929013167,0.799494216273859,0.652513249196446
"mmu.miR.7b.002555",-1.86034726342432,0.0792556993651522,53,0.0955123901367188,19,20,0.929473065441821,0.757933363907379,0.613491522443148
"mmu.miR.872.002264",-0.838792862564822,0.412014767224557,101,0.898317337036133,20,20,0.0212126495077488,0.630066339976549,2.4295330375456
"mmu.miR.92a.000430",2.81516448725483,0.0110522106132319,173,0.00943565368652344,20,20,0.0208293138410921,1.28242728204166,1.24797972930037
"mmu.miR.93.001090",2.52442928822761,0.0206475067375263,169,0.0153121948242188,20,20,0.227063248325265,1.30172631780272,1.18897612941798
"mmu.miR.99a.000435",-0.13179629875123,0.89702077178407,56,0.846923828125,17,18,0.373274176661464,0.900636487401001,0.943867037700537
"mmu.miR.99b.000436",-0.45568507392031,0.653781454270608,92,0.647655487060547,20,20,0.314699442456172,0.942048095309246,0.783456914975856
"rno.miR.190b.002048",1.27480559635813,0.217747948407584,140,0.202449798583984,20,20,0.0717899305423064,1.50639951295059,1.40339820868396
"rno.miR.196c.002049",-2.55841645734272,0.0192127771062876,51,0.0440540313720703,20,20,0.565506709159586,0.715299322882793,0.684961118176212
"rno.miR.224.000599",-1.70025214868428,0.105395085306664,62,0.113986968994141,20,20,0.572629208017884,0.748335273355242,0.732539444225435
"rno.miR.345.3p.002061",2.81125230702353,0.0131575057594461,119,0.00628662109375,17,19,0.393358241579392,1.75989477733195,2.01173324983099
"snoRNA135.001230",-1.87120770879373,0.0767973502415123,55,0.0637226104736328,20,20,0.0556729523799883,0.805226282395117,0.784267733403695
"snoRNA202.001232",-0.0804834018904282,0.936694513615122,93,0.674222946166992,20,20,0.102265328739653,0.986551255560095,0.896519831039049
