"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","X_out.obs","y_out.obs","Xy_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.7b.002555",1.27415273597301,0.248099530955851,17,0.420634920634921,15,15,4,5,0.319128611477093,1.2236369812518,1.27961984195001
"mmu.miR.872.002264",1.94379852885864,0.098526132432077,21,0.0952380952380952,15,15,4,5,0.181820073409111,3.72058600910092,210.186584776988
"mmu.miR.92a.000430",0.120705372318888,0.90690102684439,15,0.69047619047619,15,15,4,4,0.640283412283398,1.01303385629019,1.01321697834168
"mmu.miR.93.001090",-0.324014257222202,0.756756868531804,11,0.841269841269841,15,15,5,5,0.957831262021047,0.966364203299842,0.954093405929798
"mmu.miR.99a.000435",0.570883923091881,0.583846554142387,16,0.547619047619048,12,13,5,5,0.328589212440463,1.1994517027013,1.25050328490461
"mmu.miR.99b.000436",-0.187628630035991,0.856214287854695,12,1,15,14,5,3,0.428089510617993,0.967154192818071,0.94504292409589
"rno.miR.190b.002048",3.50874618349665,0.0104949970366155,24,0.0158730158730159,15,15,3,4,0.157717287562381,1.94344916986842,1.97780171925857
"rno.miR.196c.002049",2.36605880899943,0.0605012462006429,21,0.0952380952380952,15,15,5,4,0.224732128113551,1.45336036061759,1.42421748610187
"rno.miR.224.000599",0.696955608469454,0.507176647181893,16,0.547619047619048,15,14,5,5,0.693756575858944,1.20934540745555,1.18668398624789
"rno.miR.345.3p.002061",0.788641261826274,0.456232918244991,16,0.547619047619048,15,13,5,5,0.221788971347737,1.26244058296186,1.24130101404958
"snoRNA135.001230",0.172495089436123,0.867473761977259,13,1,15,15,4,5,0.383836581420638,1.03253540967667,1.02901949720496
"snoRNA202.001232",0.302160903437115,0.772489549990911,11,0.841269841269841,15,15,4,5,0.0121574438294967,1.03852404459745,1.06250960289589
