"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","X_out.obs","y_out.obs","Xy_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.26a.000405",0.360490884729265,0.728295021470285,15,0.69047619047619,15,15,5,5,0.365310324867345,1.03626700020796,1.0410716481224
"mmu.miR.26b.000407",1.34547063861447,0.21649859021427,17,0.420634920634921,15,15,3,4,0.465060669218237,1.24736955561721,1.26616639772338
"mmu.miR.27a.000408",-0.182728401467215,0.859637998451719,13,1,15,13,5,5,0.807700228916971,0.951023717641562,0.942776767471598
"mmu.miR.27b.000409",0.604421168720925,0.563739747511082,15,0.69047619047619,15,15,5,4,0.00960388179578125,1.1322899868912,1.11132266243146
"mmu.miR.28.000411",1.61010228313976,0.15147578915837,20,0.150793650793651,15,14,5,5,0.518000124615677,1.48493359787523,1.4731628091609
"mmu.miR.29a.002112",-1.21266059251008,0.291710157738707,9,0.547619047619048,15,15,4,4,0.000817472363549606,0.166792316086865,0.383030379947909
"mmu.miR.29b.000413",0.111582080877553,0.913903725373885,13,1,13,11,5,4,0.332101224766855,1.049256670879,0.984913225363411
"mmu.miR.29c.000587",-0.0634219359021744,0.951092047216779,11,0.841269841269841,15,15,5,5,0.541025212487339,0.990756791145316,1.00501229069845
"mmu.miR.301a.000528",-0.64056385454485,0.547340166051532,8,0.420634920634921,15,15,5,5,0.471913113787241,0.941188373110172,0.953436604741464
"mmu.miR.301b.002600",-0.353926685302867,0.733793117586679,11,0.841269841269841,15,15,5,5,0.954982602644104,0.939765623416655,0.915182674575046
"mmu.miR.30a.000417",-0.0680948391833832,0.948214207652895,17,0.420634920634921,15,15,4,4,0.959880916279791,0.992428808502831,0.969010817904491
"mmu.miR.30b.000602",0.600649041137406,0.569573890943642,16,0.547619047619048,15,15,5,4,0.118014188461815,1.14231323261789,1.08838070714541
"mmu.miR.30c.000419",0.410218750084984,0.692473798012914,13,1,15,15,3,5,0.367207932689359,1.05489487510115,1.05477971226295
"mmu.miR.30d.000420",0.745769606916364,0.479931659878361,15,0.69047619047619,14,15,5,5,0.463539541543928,1.13281370554764,1.11610214795543
"mmu.miR.30e.002223",-1.73722846842386,0.130322259037452,6,0.222222222222222,15,15,5,5,0.883795208119872,0.818793659784815,0.803809395718679
"mmu.miR.31.000185",-0.972336640133967,0.365355341592119,8,0.420634920634921,15,15,3,4,0.440873882999561,0.731947631889853,0.741919319274285
"mmu.miR.320.002277",0.398052633713506,0.70203439325711,14,0.841269841269841,15,15,5,5,0.309940633816345,1.08885199838771,1.06770519466276
"mmu.miR.322.001076",0.311770014967947,0.764777606741944,14,0.841269841269841,11,6,4,5,0.93616233757809,1.13640943989549,1.39611193339694
"mmu.miR.324.5p.000539",-0.701500096148324,0.503372787367097,9,0.547619047619048,12,10,5,5,0.292865688324444,0.782704879486373,0.71318330915614
"mmu.miR.328.000543",0.510501953691644,0.629639962039789,12,1,15,15,5,4,0.373801395758747,1.09655364083129,1.0599291945297
"mmu.miR.331.3p.000545",0.532261051363785,0.610582029640284,15,0.69047619047619,15,15,5,5,0.461315775126535,1.07523292721951,1.06206776040446
"mmu.miR.340.3p.002259",-0.607465452018648,0.56080278098991,8,0.420634920634921,15,13,4,5,0.820242432225316,0.881907362906924,0.875880667900358
"mmu.miR.340.5p.002258",0.404078621326283,0.69894924812501,15,0.69047619047619,11,13,4,5,0.829265941763628,1.18135539340236,1.02467539732786
"mmu.miR.342.3p.002260",-0.140473957097602,0.894294902291682,9,0.547619047619048,15,15,4,5,0.872684755100107,0.970164644559677,0.901868710338199
"mmu.miR.34b.3p.002618",-0.120411427147756,0.907133831282641,10,0.69047619047619,12,12,5,5,0.121355004180438,0.946610555511087,0.807645090038758
"mmu.miR.365.001020",0.932884521746971,0.379029893049352,18,0.30952380952381,15,15,5,4,0.0515700839619128,1.3621142783456,1.35666924235066
"mmu.miR.375.000564",1.81735685633181,0.122742772545811,20,0.150793650793651,15,15,3,4,0.429997018274927,1.18817206790225,1.20464208223385
"mmu.miR.423.5p.002340",0.421915917815121,0.686624737577864,14,0.412698412698413,9,9,3,4,0.472971513106038,1.26036980797503,1.40011716368296
"mmu.miR.429.001077",1.72931707585734,0.122242045852751,19,0.222222222222222,13,10,5,5,0.823420920873597,1.59923539449773,1.92042090832837
"mmu.miR.484.001821",-0.549734668802478,0.597637878318735,12,1,15,15,3,5,0.316665955302054,0.945175941567772,0.940884783702713
"mmu.miR.532.3p.002355",2.62060219293343,0.05766795416198,20,0.150793650793651,15,15,5,5,0.0251046376725292,2.72555277256397,2.31420425303199
"mmu.miR.532.5p.001518",-0.0990325691175417,0.924092879184951,10,0.69047619047619,14,14,4,5,0.105376260369062,0.964504986019145,0.888358898571122
"mmu.miR.574.3p.002349",0.54822002944169,0.603176989717596,14,0.841269841269841,15,15,5,4,0.187686672676141,1.12069575671778,1.06286614668359
"mmu.miR.652.002352",1.01838422497118,0.349145982924758,19,0.222222222222222,15,15,5,5,0.0937731596872203,1.36950282135925,1.29187989300169
"mmu.miR.671.3p.002322",1.05717096067128,0.333134924059026,15,0.69047619047619,12,11,5,4,0.00337231908533099,1.50457181536467,1.3877022620084
"mmu.miR.744.002324",-1.17802243120192,0.277487255548123,8,0.420634920634921,15,15,5,4,0.555764671233247,0.7898078990089,0.742065266595335
"mmu.miR.7b.002555",-1.17164427556092,0.303959519328049,10,0.69047619047619,15,14,4,4,0.0665485809253172,0.637267018644219,0.745201513561151
"mmu.miR.872.002264",-1.3289173153015,0.226081533333881,7,0.30952380952381,15,15,4,5,0.217629922290918,0.555560173196992,0.622951028920542
"mmu.miR.92a.000430",0.987740030941841,0.361587024637132,18,0.30952380952381,15,15,4,5,0.606477992073122,1.09157001693203,1.08426071341795
"mmu.miR.93.001090",1.33672394570373,0.218079329156929,19,0.222222222222222,15,15,5,4,0.621256832735947,1.21937817978007,1.22877276973834
"mmu.miR.99a.000435",-0.316164058101834,0.76010415652488,11,0.841269841269841,12,10,5,5,0.635859645048066,0.913375802681362,0.934970339834007
"mmu.miR.99b.000436",1.09103253791976,0.310459610868839,17,0.420634920634921,15,14,5,5,0.221504625817828,1.24044575377744,1.22034860861437
"rno.miR.190b.002048",-1.25937028224667,0.261086628556904,8,0.420634920634921,15,15,3,5,0.00472550586491686,0.715193225218576,0.761206351070947
"rno.miR.196c.002049",2.20777024825766,0.0708655618084695,20,0.150793650793651,15,15,5,5,0.376477769216888,1.4247007647855,1.39737655948382
"rno.miR.224.000599",1.33798859817776,0.223776873215745,19,0.222222222222222,15,15,5,3,0.194960366959348,1.46441232901526,1.43917938930787
"rno.miR.345.3p.002061",-0.171302948741695,0.869833942019076,10,0.69047619047619,15,12,5,5,0.198155006388115,0.960007138887932,0.89295899482515
"snoRNA135.001230",-0.703297692772536,0.502569258621632,9,0.547619047619048,15,15,4,5,0.2280562594119,0.865112869929156,0.877840858293796
"snoRNA202.001232",-0.315877951846697,0.763738600090554,13,1,15,15,4,5,0.882171250370276,0.956323681231871,0.97909651597574
