"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","XY_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.106b.000442",-0.316765232076003,0.763020943890382,9,0.547619047619048,15,15,0.335692629444737,0.944270224778332,0.906859926122979
"mmu.miR.10a.000387",1.16237034021039,0.28128447714485,17,0.420634920634921,15,15,0.518054037133693,1.1546015443663,1.17239468918192
"mmu.miR.10b.002218",-0.675307534419308,0.519668093860421,11,0.841269841269841,10,14,0.00465972948027442,0.597266563692448,0.720684979426403
"mmu.miR.124.001182",-1.05960795287014,0.358499675584352,8,0.73015873015873,9,10,0.084067392072315,0.484089661722722,0.601641790700134
"mmu.miR.125a.5p.002198",-0.706900363353648,0.506210329723426,10,0.69047619047619,14,15,0.0265959213897747,0.858505412333876,0.887226180243448
"mmu.miR.125b.5p.000449",0.570173108051063,0.585957683561448,15,0.69047619047619,12,14,0.0383821914451457,1.15198354311112,1.12050697056168
"mmu.miR.126.3p.002228",-0.780051302346977,0.462702529301283,9,0.547619047619048,12,9,0.572191185023332,0.813943487623797,0.839345651408413
"mmu.miR.128a.002216",-1.36199181420629,0.258196905775062,6,0.412698412698413,9,8,0.00663700334647536,0.315270843491863,0.506952120809057
"mmu.miR.130a.000454",-1.111662111175,0.299151866726521,6,0.222222222222222,11,13,0.239925146311512,0.652543012350284,0.609634620741093
"mmu.miR.130b.000456",1.70991065146555,0.12867992607668,21,0.0952380952380952,15,15,0.102993798022671,1.50107966938179,1.50146796245133
"mmu.miR.139.5p.002289",-2.20206119399247,0.0681550080718774,2,0.0317460317460317,15,15,0.307992956105356,0.784805195939736,0.789695492382015
"mmu.miR.140.001187",0.0386510724381661,0.970115784884836,14,0.841269841269841,14,14,0.578350524607651,1.00598884003527,1.00061299167794
"mmu.miR.141.000463",-0.0583102710248333,0.955693008925836,11,0.841269841269841,15,15,0.218927469181097,0.993292649980832,0.975665413424115
"mmu.miR.142.3p.000464",0.199715286510557,0.847769664502681,12,1,11,11,0.330260441848019,1.09189148393995,0.961543214965974
"mmu.miR.145.002278",0.440745369909308,0.673580126712077,18,0.30952380952381,10,12,0.110969538764148,1.20320421352587,1.41654978500777
"mmu.miR.146a.000468",2.37891709240692,0.0525127042487037,22,0.0555555555555556,15,15,0.591044967366453,1.29747393181655,1.28788902918235
"mmu.miR.146b.001097",-0.32145532314212,0.756826787087421,11,0.841269841269841,15,15,0.31090663223634,0.934180013858545,0.961770531255455
"mmu.miR.148a.000470",-0.154507871200305,0.881487254292456,9,0.547619047619048,15,15,0.00995049528569217,0.952864725008881,0.891004114831745
"mmu.miR.148b.000471",-0.348868314428507,0.738140907735687,12,1,9,11,0.0810297491425511,0.820046415454232,0.963189242544979
"mmu.miR.151.3p.001190",0.226043410329811,0.827957098026328,16,0.547619047619048,10,13,0.0289489003213348,1.06844866562139,1.13163922864078
"mmu.miR.152.000475",-1.64552630980251,0.162296066028728,3,0.0555555555555556,15,15,0.0045661788079785,0.574556286915342,0.609659789293103
"mmu.miR.155.002571",-0.221422292416373,0.831351948745614,9,0.547619047619048,14,13,0.527766339896806,0.971316321934529,0.990338981239303
"mmu.miR.15b.000390",-0.247031192773138,0.811201556370299,11,0.841269841269841,15,15,0.343138838173337,0.962611758338519,0.958550275607631
"mmu.miR.16.000391",-0.913229514189634,0.388654823151006,8,0.420634920634921,15,15,0.889265544000478,0.851551400090866,0.859086588358986
"mmu.miR.17.002308",-1.56094012728525,0.157254860005562,5,0.150793650793651,15,15,0.993616877654433,0.757816889415331,0.74338358179652
"mmu.miR.181a.000480",-1.68556491066125,0.145765921964637,7,0.30952380952381,15,15,0.119885099388603,0.605609889225524,0.637707265333699
"mmu.miR.181c.000482",0.0673878524138908,0.948313604569457,11,0.841269841269841,15,15,0.179409312121511,1.02170479048632,0.949350658575999
"mmu.miR.182.002599",-1.25266114588011,0.247306509881289,7,0.30952380952381,15,15,0.695228028577769,0.842646035793134,0.842939738858183
"mmu.miR.183.002269",-0.296280191316064,0.774748077222217,10,0.69047619047619,13,15,0.0376053163362913,0.930628341686029,0.902194115177031
"mmu.miR.186.002285",0.44536342865594,0.669041175979015,13,1,15,15,0.642812873546811,1.11826692939076,1.10840695891637
"mmu.miR.188.5p.002320",1.47818620273374,0.1914241415055,19,0.222222222222222,15,13,0.139583496549268,1.85092088631151,1.84922226840216
"mmu.miR.18a.002422",-0.0312732389870953,0.976233896871941,11,0.841269841269841,12,15,0.66453814126007,0.992801235527778,0.918699178871976
"mmu.miR.191.002299",-1.42740234865886,0.206827859887562,6,0.222222222222222,15,15,0.768524501246443,0.791036786960877,0.817068381514907
